"filename", "language", "XML", "HTML", "Java", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\USUARIO\Documents\NetBeansProjects\UrbanStyleWebApp\src\main\webapp\views\catalogo\CatPolos.html", "HTML", 0, 421, 0, 0, 0, 0, 18, 439
"c:\Users\USUARIO\Documents\NetBeansProjects\UrbanStyleWebApp\src\main\webapp\views\catalogo\CatPolosM.html", "HTML", 0, 434, 0, 0, 0, 0, 19, 453
"c:\Users\USUARIO\Documents\NetBeansProjects\UrbanStyleWebApp\src\main\webapp\views\catalogo\DetalleProducto.html", "HTML", 0, 165, 0, 0, 0, 0, 22, 187
"c:\Users\USUARIO\Documents\NetBeansProjects\UrbanStyleWebApp\src\main\webapp\views\catalogo\FinalizarCompra.html", "HTML", 0, 418, 0, 0, 0, 17, 52, 487
"c:\Users\USUARIO\Documents\NetBeansProjects\UrbanStyleWebApp\src\main\webapp\views\intranex\Archivos.html", "HTML", 0, 114, 0, 0, 0, 6, 11, 131
"c:\Users\USUARIO\Documents\NetBeansProjects\UrbanStyleWebApp\src\main\webapp\views\intranex\Dashboard.html", "HTML", 0, 65, 0, 0, 0, 8, 14, 87
"c:\Users\USUARIO\Documents\NetBeansProjects\UrbanStyleWebApp\src\main\webapp\views\intranex\Mensajeria.html", "HTML", 0, 114, 0, 0, 0, 6, 9, 129
"c:\Users\USUARIO\Documents\NetBeansProjects\UrbanStyleWebApp\src\main\webapp\views\intranex\Pedidos.html", "HTML", 0, 96, 0, 0, 0, 5, 14, 115
"c:\Users\USUARIO\Documents\NetBeansProjects\UrbanStyleWebApp\src\main\webapp\views\intranex\Usuario.html", "HTML", 0, 113, 0, 0, 0, 9, 15, 137
"c:\Users\USUARIO\Documents\NetBeansProjects\UrbanStyleWebApp\src\main\webapp\views\intranex\index.html", "HTML", 0, 59, 0, 0, 0, 7, 11, 77
"Total", "-", 43, 4659, 259, 166, 1092, 151, 634, 7004
